business_name,category,address,phone,email,email_found,email_source,notes
Black Sheep Automotive LLC,auto_repair,"7920 Pine Crossing Cir, Orlando, FL 32807",(321) 262-4317,,no,,Has website blacksheepautomotive.org - no email listed
Pat's Mobile Auto Repair LLC,auto_repair,"3704 Ibis Dr, Orlando, FL 32803",(561) 504-5452,,no,,No email found
Family D Auto Repair,auto_repair,"414 S Orange Blossom Trl, Orlando, FL 32805",(407) 418-1221,,no,,Has Instagram @familydautorepair
Discount Auto Center & Mufflers Shop,auto_repair,"127 S Orange Blossom Trl, Orlando, FL 32805",(407) 425-8401,nissan423@yahoo.com,yes,business listing,Has website automufflersshop.com
Gaby's Auto Repair,auto_repair,"2000 S Orange Blossom Trl, Orlando, FL 32805",,no,,No phone or email listed
Gibney's Auto Repair Inc,auto_repair,"2801 S Orange Blossom Trl, Orlando, FL 32805",(407) 426-9489,,no,,No email found
ORLANDO'S MECHANIC,auto_repair,"5336 Old Winter Garden Rd Suite 3, Orlando, FL 32811",(407) 535-0448,,no,,No email found
AUTO SERVICE M&M (TIRE SHOP),auto_repair,"1828 N Goldenrod Rd, Orlando, FL 32807",(407) 300-1552,,no,,No email found
Rincon's Auto Shop,auto_repair,"8907 S Orange Blossom Trl, Orlando, FL 32809",(407) 569-5653,,no,,No email found
High Superior Mobile Care LLC,auto_repair,"350 S McKinley Ave, Orlando, FL 32811",(515) 422-1206,,no,,Has Facebook page - no email found
Evolution Deep Clean,cleaning,"729 Executive Dr, Winter Park, FL 32789",(407) 476-8525,service@evolutiondeepclean.com,yes,search results,Also known as InstaDry. Full website.
695 Carpet Cleaner Inc,cleaning,"7222 Harwick Dr, Orlando, FL 32818",(407) 556-5295,695carpetcleanerinc@gmail.com,yes,business listing,Has website 695carpetcleanerinc.com
Orlando sidewalk & Driveway Inc,pressure_washing,"4798 Muir Village, Orlando, FL 32808",(321) 315-5287,,no,,No email found - limited online presence
JUNGLE TREE & DEBRIS Outdoor Services,tree_service,"2915 Kilgore St, Orlando, FL 32803",(321) 331-3912,James@jungletreeanddebris.com,yes,company website,Also: Laurie@jungletreeanddebris.com. Full website.
Proklean Pressure Washing LLC,pressure_washing,"5580 Century 21 Blvd apt 120, Orlando, FL 32807",(407) 520-2943,mr.prokleanpw@gmail.com,yes,business listing,Has website prokleanpw.com
Garage Doctor Of Orlando Inc,garage_door,"7901 Yacht Basin Ave, Orlando, FL 32835",(407) 796-2349,,no,,Has Facebook - no email found
Lake Nona Garage Door Repair,garage_door,"6900 Tavistock Lakes Blvd Suite 400, Orlando, FL 32827",(407) 734-0336,,no,,No email found
Winter Park GarageDoor Repair,garage_door,"1400 Morgan Stanley Ave unit 362, Winter Park, FL",(321) 316-3061,,no,,No email found - limited presence
Pine Hills Garage Door Repair & Roofing Now,garage_door,"5221 W Colonial Dr, Orlando, FL 32808",(407) 634-3917,,no,,No email found
NICK GARAGE DOOR REPLACEMENT & SERVICES LLC,garage_door,"2750 Taylor Ave a 101, Orlando, FL 32806",(941) 777-3618,,no,,No email found
Mi Dr Phillips Garage Door Repair,garage_door,"8218 Vía Verona, Orlando, FL 32836",(407) 974-5700,,no,,No email found
Infinite Garage Door's Co,garage_door,"2701 Rosedale Rd, Orlando, FL 32803",(407) 459-8562,,no,,No email found
VortexFix Garage Door's CO,garage_door,"105 W Church St, Orlando, FL 32801",(321) 415-8734,,no,,No email found
Osceola Sewer and Drain Cleaning,plumbing,"1757 Attilburgh Blvd, Melbourne, FL 32904",(407) 325-7883,osdcleaning@gmail.com,yes,company website,Website: osdcleaning.com. Owner: Angelo Woodard.
Best Plumbing Services Orlando FL,plumbing,"3021 Zaharias Dr, Orlando, FL 32837",(689) 262-4314,,no,,No email found
Chaviano Handyman LLC,handyman,"13225 Greenpointe Dr, Orlando, FL 32824",(407) 686-6325,,no,,Has website chavianohandyman.com - no email listed
Jim Secretan Plumbing,plumbing,"3134 Timucua Cir, Orlando, FL 32837",(407) 240-8338,,no,,No email found - phone-only contact
Grace Services and Contracting LLC,electrician,"2447 Quail Hollow Ave, Kissimmee, FL 34744",(407) 419-1605,,no,,Owner: Mario Caceres. No email found.
SUMATIME ELECTRIC LLC,electrician,"919 W Sumner St, Kissimmee, FL 34741",(407) 488-4750,Suma@sumatime.com,yes,company website,Has website sumatime.com
Kissimmee Heating & Cooling,hvac,"728 US-92, Kissimmee, FL 34741",(407) 565-3933,,no,,No email found - very limited online presence
Jojoto grill,restaurant,"507 W Vine St, Kissimmee, FL 34741",(407) 758-6742,,no,,Has website jojotosteakhouse.com - no email listed
Titi Jessica's New Yorican Restaurant,restaurant,"121 Broadway, Kissimmee, FL 34741",(407) 676-3526,,no,,Active on Facebook (titi.jessica.s.new.yorican)
Mu Restaurant,bar,"3092 Michigan Ave, Kissimmee, FL 34744",(407) 483-8778,,no,,Has website murestaurantfl.com - no email listed
Southern Breeze,bar,"5770 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746",(407) 397-4004,southernbreezebar@gmail.com,yes,search results,Located in Old Town Kissimmee
Miguelo's Ultra Lounge,bar,"219 Broadway, Kissimmee, FL 34741",(689) 296-1208,migueloscafebar@gmail.com,yes,search results,Has full website miguelosultralounge.com
The Hen & Hog Winter Park FL,restaurant,"221 W Fairbanks Ave, Winter Park, FL 32789",(407) 637-2863,,no,,Has website henandhogorlando.com - no email listed
