business_name,category,phone,whatsapp_number,variant,claim_token,claim_url,msg1_sent,msg2_sent,msg3_sent,replied_at,reply_type,claimed_at,status,notes
Discount Auto Center & Mufflers Shop,auto_repair,(407) 425-8401,+14074258401,B,8cdbb417-47af-437d-9d0a-837e924b652b,https://locosite.io/claim/8cdbb417-47af-437d-9d0a-837e924b652b,,,,,,,,
Gibney's Auto Repair Inc,auto_repair,(407) 426-9489,+14074269489,B,7f4093fa-a2d7-46fb-a50e-8858c53e8b12,https://locosite.io/claim/7f4093fa-a2d7-46fb-a50e-8858c53e8b12,,,,,,,,
ORLANDO'S MECHANIC,auto_repair,(407) 535-0448,+14075350448,B,3d14ee9f-1020-46ff-beaf-efeeda0220cc,https://locosite.io/claim/3d14ee9f-1020-46ff-beaf-efeeda0220cc,,,,,,,,
AUTO SERVICE M&M (TIRE SHOP),auto_repair,(407) 300-1552,+14073001552,B,c4d66711-e774-4216-b3bf-5fd79ebd16db,https://locosite.io/claim/c4d66711-e774-4216-b3bf-5fd79ebd16db,,,,,,,,
Rincon's Auto Shop,auto_repair,(407) 569-5653,+14075695653,B,2dcb6dde-eb91-4449-9062-85b90fff1eff,https://locosite.io/claim/2dcb6dde-eb91-4449-9062-85b90fff1eff,,,,,,,,
High Superior Mobile Care LLC,auto_repair,(515) 422-1206,+15154221206,B,f423a2fe-f42f-44ff-878f-fa864f16608e,https://locosite.io/claim/f423a2fe-f42f-44ff-878f-fa864f16608e,,,,,,,,
Evolution Deep Clean,cleaning,(407) 476-8525,+14074768525,B,9267e650-8822-4182-9a2f-f47089b534f7,https://locosite.io/claim/9267e650-8822-4182-9a2f-f47089b534f7,,,,,,,,
695 Carpet Cleaner Inc,cleaning,(407) 556-5295,+14075565295,B,c277da5a-19b7-4fb5-96af-0f3825a74d93,https://locosite.io/claim/c277da5a-19b7-4fb5-96af-0f3825a74d93,,,,,,,,
Orlando sidewalk & Driveway Inc,pressure_washing,(321) 315-5287,+13213155287,B,05eef370-565b-4e1b-b041-83f9bb45ab3e,https://locosite.io/claim/05eef370-565b-4e1b-b041-83f9bb45ab3e,,,,,,,,
JUNGLE TREE & DEBRIS Outdoor Services,tree_service,(321) 331-3912,+13213313912,B,3e87da5b-250b-4c9d-b8c4-001e850de68d,https://locosite.io/claim/3e87da5b-250b-4c9d-b8c4-001e850de68d,,,,,,,,
Proklean Pressure Washing LLC,pressure_washing,(407) 520-2943,+14075202943,B,88f855e6-8d23-4e7b-9854-0eda78a4d8f1,https://locosite.io/claim/88f855e6-8d23-4e7b-9854-0eda78a4d8f1,,,,,,,,
Garage Doctor Of Orlando Inc.,establishment,(407) 796-2349,+14077962349,B,3e82ce12-de03-423f-bd31-a99c7d4168dd,https://locosite.io/claim/3e82ce12-de03-423f-bd31-a99c7d4168dd,,,,,,,,
Lake Nona Garage Door Repair,garage_door,(407) 734-0336,+14077340336,B,e1352b57-48f8-4d6c-b16e-a8f0e68cf469,https://locosite.io/claim/e1352b57-48f8-4d6c-b16e-a8f0e68cf469,,,,,,,,
Winter Park GarageDoor Repair,garage_door,(321) 316-3061,+13213163061,B,e59ebb81-6ac4-4a77-8ec9-900fc117817e,https://locosite.io/claim/e59ebb81-6ac4-4a77-8ec9-900fc117817e,,,,,,,,
Pine Hills Garage Door Repair & Roofing Now,garage_door,(407) 634-3917,+14076343917,B,e1cce7d1-317b-437e-bf5c-07edab986d59,https://locosite.io/claim/e1cce7d1-317b-437e-bf5c-07edab986d59,,,,,,,,
NICK GARAGE DOOR REPLACEMENT & SERVICES LLC,garage_door,(941) 777-3618,+19417773618,B,f2557c56-5ca1-4a62-8d80-d24a793d23a2,https://locosite.io/claim/f2557c56-5ca1-4a62-8d80-d24a793d23a2,,,,,,,,
Mi Dr Phillips Garage Door Repair,garage_door,(407) 974-5700,+14079745700,B,486bfea8-2715-4948-81e8-96b8d2b2fa83,https://locosite.io/claim/486bfea8-2715-4948-81e8-96b8d2b2fa83,,,,,,,,
Infinite Garage Door's Co.,establishment,(407) 459-8562,+14074598562,B,a463b2c3-aecc-4cae-a3ba-d5eb0753fa98,https://locosite.io/claim/a463b2c3-aecc-4cae-a3ba-d5eb0753fa98,,,,,,,,
VortexFix Garage Door's CO.,establishment,(321) 415-8734,+13214158734,B,2e291ac5-54f0-474a-8081-36e0ee33dec7,https://locosite.io/claim/2e291ac5-54f0-474a-8081-36e0ee33dec7,,,,,,,,
Osceola Sewer and Drain Cleaning,plumbing,(407) 325-7883,+14073257883,B,ba76a560-51c6-4bf8-8ae0-66eb5d2ad596,https://locosite.io/claim/ba76a560-51c6-4bf8-8ae0-66eb5d2ad596,,,,,,,,
Best Plumbing Services Orlando FL,plumbing,(689) 262-4314,+16892624314,B,9cfeca5d-1737-49fe-a702-058ff2732848,https://locosite.io/claim/9cfeca5d-1737-49fe-a702-058ff2732848,,,,,,,,
"Chaviano Handyman, LLC",establishment,(407) 686-6325,+14076866325,B,066e8770-4ccb-4b0e-8eda-e7395cdacc64,https://locosite.io/claim/066e8770-4ccb-4b0e-8eda-e7395cdacc64,,,,,,,,
Jim Secretan Plumbing,plumbing,(407) 240-8338,+14072408338,B,ab411c25-e2f7-4d01-86fe-1712b3749e87,https://locosite.io/claim/ab411c25-e2f7-4d01-86fe-1712b3749e87,,,,,,,,
"Grace Services and Contracting, LLC",electrician,(407) 419-1605,+14074191605,B,f92f011f-64ef-4fdc-975e-25b4783645fc,https://locosite.io/claim/f92f011f-64ef-4fdc-975e-25b4783645fc,,,,,,,,
SUMATIME ELECTRIC LLC,electrician,(407) 488-4750,+14074884750,B,a298fb9b-bab4-493e-af6f-5b516e17900f,https://locosite.io/claim/a298fb9b-bab4-493e-af6f-5b516e17900f,,,,,,,,
Kissimmee Heating & Cooling,hvac,(407) 565-3933,+14075653933,B,b937b037-11d5-4c85-b981-e368c1187636,https://locosite.io/claim/b937b037-11d5-4c85-b981-e368c1187636,,,,,,,,
Jojoto grill,restaurant,(407) 758-6742,+14077586742,A,7e8cc9e4-44c2-4a52-a674-ea51e4c81d96,https://locosite.io/claim/7e8cc9e4-44c2-4a52-a674-ea51e4c81d96,,,,,,,,
Titi Jessica's New Yorican Restaurant,restaurant,(407) 676-3526,+14076763526,A,9fc70d1e-f950-41a4-b1ed-d82b0442004d,https://locosite.io/claim/9fc70d1e-f950-41a4-b1ed-d82b0442004d,,,,,,,,
Mu Restaurant,bar,(407) 483-8778,+14074838778,A,de177d07-261d-41d2-908d-d92ee27f2e8b,https://locosite.io/claim/de177d07-261d-41d2-908d-d92ee27f2e8b,,,,,,,,
Southern Breeze,bar,(407) 397-4004,+14073974004,A,b332acbb-2269-4ec6-aefd-5761792873eb,https://locosite.io/claim/b332acbb-2269-4ec6-aefd-5761792873eb,,,,,,,,
Miguelo's Ultra Lounge,bar,(689) 296-1208,+16892961208,A,db3c7ecd-adb3-4a01-9973-02c0dccf869c,https://locosite.io/claim/db3c7ecd-adb3-4a01-9973-02c0dccf869c,,,,,,,,
"The Hen & Hog, Winter Park, FL",establishment,(407) 637-2863,+14076372863,A,66bf5dd8-b3a9-46e3-8b3d-c19973e2a9f5,https://locosite.io/claim/66bf5dd8-b3a9-46e3-8b3d-c19973e2a9f5,,,,,,,,
